Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Alex,"Weddings, Christenings and Funerals",Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 13:34:42,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1084000},{""eventType"":""playing"",""sessionOffsetMs"":2363,""mediaOffsetMs"":1084000},{""eventType"":""paused"",""sessionOffsetMs"":3517,""mediaOffsetMs"":1082769},{""eventType"":""reposition"",""sessionOffsetMs"":14633,""mediaOffsetMs"":680000},{""eventType"":""playing"",""sessionOffsetMs"":15127,""mediaOffsetMs"":678000},{""eventType"":""playing"",""sessionOffsetMs"":39143,""mediaOffsetMs"":702016},{""eventType"":""playing"",""sessionOffsetMs"":47143,""mediaOffsetMs"":710016},{""eventType"":""playing"",""sessionOffsetMs"":55143,""mediaOffsetMs"":718016},{""eventType"":""playing"",""sessionOffsetMs"":63143,""mediaOffsetMs"":726016},{""eventType"":""paused"",""sessionOffsetMs"":2330840,""mediaOffsetMs"":2993506},{""eventType"":""reposition"",""sessionOffsetMs"":2332276,""mediaOffsetMs"":3010000},{""eventType"":""playing"",""sessionOffsetMs"":2332538,""mediaOffsetMs"":3008000},{""eventType"":""paused"",""sessionOffsetMs"":2346684,""mediaOffsetMs"":3022015},{""eventType"":""reposition"",""sessionOffsetMs"":2348172,""mediaOffsetMs"":3050000},{""eventType"":""playing"",""sessionOffsetMs"":2348432,""mediaOffsetMs"":3045541},{""eventType"":""paused"",""sessionOffsetMs"":2360472,""mediaOffsetMs"":3057555},{""eventType"":""reposition"",""sessionOffsetMs"":2361588,""mediaOffsetMs"":3070000},{""eventType"":""playing"",""sessionOffsetMs"":2361954,""mediaOffsetMs"":3069333},{""eventType"":""paused"",""sessionOffsetMs"":2523315,""mediaOffsetMs"":3230556},{""eventType"":""reposition"",""sessionOffsetMs"":2525133,""mediaOffsetMs"":3260000},{""eventType"":""playing"",""sessionOffsetMs"":2525358,""mediaOffsetMs"":3258208},{""eventType"":""paused"",""sessionOffsetMs"":2526574,""mediaOffsetMs"":3259311},{""eventType"":""reposition"",""sessionOffsetMs"":2527485,""mediaOffsetMs"":3270000},{""eventType"":""playing"",""sessionOffsetMs"":2527819,""mediaOffsetMs"":3268125},{""eventType"":""paused"",""sessionOffsetMs"":2536795,""mediaOffsetMs"":3277035},{""eventType"":""reposition"",""sessionOffsetMs"":2537629,""mediaOffsetMs"":3290000},{""eventType"":""playing"",""sessionOffsetMs"":2538030,""mediaOffsetMs"":3284542},{""eventType"":""paused"",""sessionOffsetMs"":2558720,""mediaOffsetMs"":3305172},{""eventType"":""reposition"",""sessionOffsetMs"":2560047,""mediaOffsetMs"":3320000},{""eventType"":""playing"",""sessionOffsetMs"":2560251,""mediaOffsetMs"":3319291},{""eventType"":""paused"",""sessionOffsetMs"":2905953,""mediaOffsetMs"":3664854},{""eventType"":""reposition"",""sessionOffsetMs"":2907090,""mediaOffsetMs"":3680000},{""eventType"":""playing"",""sessionOffsetMs"":2907462,""mediaOffsetMs"":3672708},{""eventType"":""paused"",""sessionOffsetMs"":2933330,""mediaOffsetMs"":3698642},{""eventType"":""reposition"",""sessionOffsetMs"":2935261,""mediaOffsetMs"":3730000},{""eventType"":""playing"",""sessionOffsetMs"":2935686,""mediaOffsetMs"":3729291},{""eventType"":""paused"",""sessionOffsetMs"":2941077,""mediaOffsetMs"":3734700},{""eventType"":""reposition"",""sessionOffsetMs"":2942540,""mediaOffsetMs"":3770000},{""eventType"":""playing"",""sessionOffsetMs"":2942837,""mediaOffsetMs"":3769835},{""eventType"":""paused"",""sessionOffsetMs"":2982347,""mediaOffsetMs"":3809183},{""eventType"":""reposition"",""sessionOffsetMs"":2983438,""mediaOffsetMs"":3830000},{""eventType"":""playing"",""sessionOffsetMs"":2983811,""mediaOffsetMs"":3822426},{""eventType"":""paused"",""sessionOffsetMs"":2985216,""mediaOffsetMs"":3823717},{""eventType"":""reposition"",""sessionOffsetMs"":2986119,""mediaOffsetMs"":3840000},{""eventType"":""playing"",""sessionOffsetMs"":2986350,""mediaOffsetMs"":3839666},{""eventType"":""paused"",""sessionOffsetMs"":3034215,""mediaOffsetMs"":3887437},{""eventType"":""reposition"",""sessionOffsetMs"":3036658,""mediaOffsetMs"":3950000},{""eventType"":""playing"",""sessionOffsetMs"":3036944,""mediaOffsetMs"":3949833},{""eventType"":""paused"",""sessionOffsetMs"":3039348,""mediaOffsetMs"":3952135},{""eventType"":""reposition"",""sessionOffsetMs"":3041064,""mediaOffsetMs"":4000000},{""eventType"":""playing"",""sessionOffsetMs"":3041458,""mediaOffsetMs"":3995959},{""eventType"":""paused"",""sessionOffsetMs"":3044950,""mediaOffsetMs"":3999265},{""eventType"":""reposition"",""sessionOffsetMs"":3046998,""mediaOffsetMs"":4050000},{""eventType"":""playing"",""sessionOffsetMs"":3047280,""mediaOffsetMs"":4046960},{""eventType"":""paused"",""sessionOffsetMs"":3050380,""mediaOffsetMs"":4049764},{""eventType"":""reposition"",""sessionOffsetMs"":3051476,""mediaOffsetMs"":4070000},{""eventType"":""playing"",""sessionOffsetMs"":3051816,""mediaOffsetMs"":4067626},{""eventType"":""paused"",""sessionOffsetMs"":3053229,""mediaOffsetMs"":4068929},{""eventType"":""reposition"",""sessionOffsetMs"":3054417,""mediaOffsetMs"":4090000},{""eventType"":""playing"",""sessionOffsetMs"":3054791,""mediaOffsetMs"":4089333},{""eventType"":""paused"",""sessionOffsetMs"":3065289,""mediaOffsetMs"":4099745},{""eventType"":""reposition"",""sessionOffsetMs"":3066837,""mediaOffsetMs"":4140000},{""eventType"":""playing"",""sessionOffsetMs"":3067109,""mediaOffsetMs"":4133877},{""eventType"":""paused"",""sessionOffsetMs"":3104589,""mediaOffsetMs"":4171229},{""eventType"":""reposition"",""sessionOffsetMs"":3105878,""mediaOffsetMs"":4200000},{""eventType"":""playing"",""sessionOffsetMs"":3106164,""mediaOffsetMs"":4196375},{""eventType"":""paused"",""sessionOffsetMs"":3110711,""mediaOffsetMs"":4200980},{""eventType"":""reposition"",""sessionOffsetMs"":3112597,""mediaOffsetMs"":4270000},{""eventType"":""playing"",""sessionOffsetMs"":3112941,""mediaOffsetMs"":4264042},{""eventType"":""paused"",""sessionOffsetMs"":3118166,""mediaOffsetMs"":4269155},{""eventType"":""reposition"",""sessionOffsetMs"":3121036,""mediaOffsetMs"":4330000},{""eventType"":""playing"",""sessionOffsetMs"":3121325,""mediaOffsetMs"":4329501},{""eventType"":""paused"",""sessionOffsetMs"":3125362,""mediaOffsetMs"":4333604},{""eventType"":""reposition"",""sessionOffsetMs"":3127157,""mediaOffsetMs"":4390000},{""eventType"":""playing"",""sessionOffsetMs"":3127448,""mediaOffsetMs"":4389427},{""eventType"":""paused"",""sessionOffsetMs"":3129630,""mediaOffsetMs"":4391520},{""eventType"":""reposition"",""sessionOffsetMs"":3131447,""mediaOffsetMs"":4440000},{""eventType"":""playing"",""sessionOffsetMs"":3131737,""mediaOffsetMs"":4439541},{""eventType"":""paused"",""sessionOffsetMs"":3160372,""mediaOffsetMs"":4467974},{""eventType"":""reposition"",""sessionOffsetMs"":3164638,""mediaOffsetMs"":4600000},{""eventType"":""playing"",""sessionOffsetMs"":3164885,""mediaOffsetMs"":4593709},{""eventType"":""paused"",""sessionOffsetMs"":3175608,""mediaOffsetMs"":4604222},{""eventType"":""reposition"",""sessionOffsetMs"":3177836,""mediaOffsetMs"":4690000},{""eventType"":""playing"",""sessionOffsetMs"":3178124,""mediaOffsetMs"":4688625},{""eventType"":""paused"",""sessionOffsetMs"":3215752,""mediaOffsetMs"":4725971},{""eventType"":""reposition"",""sessionOffsetMs"":3217955,""mediaOffsetMs"":4760000},{""eventType"":""playing"",""sessionOffsetMs"":3218286,""mediaOffsetMs"":4759041},{""eventType"":""paused"",""sessionOffsetMs"":3351599,""mediaOffsetMs"":4892327},{""eventType"":""reposition"",""sessionOffsetMs"":3352483,""mediaOffsetMs"":4920000},{""eventType"":""playing"",""sessionOffsetMs"":3352813,""mediaOffsetMs"":4914334},{""eventType"":""paused"",""sessionOffsetMs"":3719658,""mediaOffsetMs"":5280829},{""eventType"":""reposition"",""sessionOffsetMs"":3721676,""mediaOffsetMs"":5360000},{""eventType"":""playing"",""sessionOffsetMs"":3722094,""mediaOffsetMs"":5356750},{""eventType"":""paused"",""sessionOffsetMs"":3730580,""mediaOffsetMs"":5365159},{""eventType"":""reposition"",""sessionOffsetMs"":3732309,""mediaOffsetMs"":5400000},{""eventType"":""playing"",""sessionOffsetMs"":3732593,""mediaOffsetMs"":5398001},{""eventType"":""paused"",""sessionOffsetMs"":3736482,""mediaOffsetMs"":5401905},{""eventType"":""reposition"",""sessionOffsetMs"":3738051,""mediaOffsetMs"":5460000},{""eventType"":""playing"",""sessionOffsetMs"":3738428,""mediaOffsetMs"":5455209},{""eventType"":""paused"",""sessionOffsetMs"":3750476,""mediaOffsetMs"":5467227},{""eventType"":""reposition"",""sessionOffsetMs"":3751712,""mediaOffsetMs"":5480000},{""eventType"":""playing"",""sessionOffsetMs"":3751905,""mediaOffsetMs"":5479542},{""eventType"":""paused"",""sessionOffsetMs"":3777228,""mediaOffsetMs"":5504672},{""eventType"":""reposition"",""sessionOffsetMs"":3777912,""mediaOffsetMs"":5520000},{""eventType"":""playing"",""sessionOffsetMs"":3778197,""mediaOffsetMs"":5519877},{""eventType"":""paused"",""sessionOffsetMs"":3781538,""mediaOffsetMs"":5522979},{""eventType"":""reposition"",""sessionOffsetMs"":3782236,""mediaOffsetMs"":5540000},{""eventType"":""playing"",""sessionOffsetMs"":3782454,""mediaOffsetMs"":5535375},{""eventType"":""paused"",""sessionOffsetMs"":3784081,""mediaOffsetMs"":5536977},{""eventType"":""reposition"",""sessionOffsetMs"":3784789,""mediaOffsetMs"":5550000},{""eventType"":""playing"",""sessionOffsetMs"":3784994,""mediaOffsetMs"":5549625},{""eventType"":""paused"",""sessionOffsetMs"":3966240,""mediaOffsetMs"":5730682},{""eventType"":""reposition"",""sessionOffsetMs"":3967072,""mediaOffsetMs"":5750000},{""eventType"":""playing"",""sessionOffsetMs"":3967505,""mediaOffsetMs"":5748876},{""eventType"":""paused"",""sessionOffsetMs"":3979301,""mediaOffsetMs"":5760589},{""eventType"":""reposition"",""sessionOffsetMs"":3980168,""mediaOffsetMs"":5790000},{""eventType"":""playing"",""sessionOffsetMs"":3980471,""mediaOffsetMs"":5787459},{""eventType"":""paused"",""sessionOffsetMs"":3999542,""mediaOffsetMs"":5806491},{""eventType"":""reposition"",""sessionOffsetMs"":4000211,""mediaOffsetMs"":5820000},{""eventType"":""playing"",""sessionOffsetMs"":4000397,""mediaOffsetMs"":5816377},{""eventType"":""paused"",""sessionOffsetMs"":4023200,""mediaOffsetMs"":5839003},{""eventType"":""reposition"",""sessionOffsetMs"":4024185,""mediaOffsetMs"":5850000},{""eventType"":""playing"",""sessionOffsetMs"":4024467,""mediaOffsetMs"":5847750},{""eventType"":""paused"",""sessionOffsetMs"":4025601,""mediaOffsetMs"":5848551},{""eventType"":""playing"",""sessionOffsetMs"":4026723,""mediaOffsetMs"":5848551},{""eventType"":""paused"",""sessionOffsetMs"":4027432,""mediaOffsetMs"":5849286},{""eventType"":""reposition"",""sessionOffsetMs"":4028208,""mediaOffsetMs"":5870000},{""eventType"":""playing"",""sessionOffsetMs"":4028471,""mediaOffsetMs"":5865792},{""eventType"":""paused"",""sessionOffsetMs"":4029318,""mediaOffsetMs"":5866595},{""eventType"":""reposition"",""sessionOffsetMs"":4030364,""mediaOffsetMs"":5900000},{""eventType"":""playing"",""sessionOffsetMs"":4030640,""mediaOffsetMs"":5899333},{""eventType"":""paused"",""sessionOffsetMs"":4099743,""mediaOffsetMs"":5968227},{""eventType"":""reposition"",""sessionOffsetMs"":4100445,""mediaOffsetMs"":5980000},{""eventType"":""playing"",""sessionOffsetMs"":4100796,""mediaOffsetMs"":5978127},{""eventType"":""paused"",""sessionOffsetMs"":4101866,""mediaOffsetMs"":5979228},{""eventType"":""reposition"",""sessionOffsetMs"":4102608,""mediaOffsetMs"":5990000},{""eventType"":""playing"",""sessionOffsetMs"":4103143,""mediaOffsetMs"":5986462},{""eventType"":""paused"",""sessionOffsetMs"":4103917,""mediaOffsetMs"":5987010},{""eventType"":""reposition"",""sessionOffsetMs"":4104629,""mediaOffsetMs"":6000000},{""eventType"":""playing"",""sessionOffsetMs"":4104971,""mediaOffsetMs"":5997916},{""eventType"":""paused"",""sessionOffsetMs"":4116069,""mediaOffsetMs"":6008927},{""eventType"":""reposition"",""sessionOffsetMs"":4116867,""mediaOffsetMs"":6020000},{""eventType"":""playing"",""sessionOffsetMs"":4117164,""mediaOffsetMs"":6017708},{""eventType"":""paused"",""sessionOffsetMs"":4121034,""mediaOffsetMs"":6021313},{""eventType"":""reposition"",""sessionOffsetMs"":4121806,""mediaOffsetMs"":6040000},{""eventType"":""playing"",""sessionOffsetMs"":4122081,""mediaOffsetMs"":6035084},{""eventType"":""paused"",""sessionOffsetMs"":4124258,""mediaOffsetMs"":6037185},{""eventType"":""reposition"",""sessionOffsetMs"":4125003,""mediaOffsetMs"":6050000},{""eventType"":""playing"",""sessionOffsetMs"":4125277,""mediaOffsetMs"":6043375},{""eventType"":""paused"",""sessionOffsetMs"":4130396,""mediaOffsetMs"":6048483},{""eventType"":""reposition"",""sessionOffsetMs"":4131123,""mediaOffsetMs"":6060000},{""eventType"":""playing"",""sessionOffsetMs"":4131515,""mediaOffsetMs"":6058167},{""eventType"":""paused"",""sessionOffsetMs"":4138452,""mediaOffsetMs"":6065075},{""eventType"":""reposition"",""sessionOffsetMs"":4139344,""mediaOffsetMs"":6080000},{""eventType"":""playing"",""sessionOffsetMs"":4139599,""mediaOffsetMs"":6077500},{""eventType"":""paused"",""sessionOffsetMs"":4142726,""mediaOffsetMs"":6080311},{""eventType"":""reposition"",""sessionOffsetMs"":4143727,""mediaOffsetMs"":6100000},{""eventType"":""playing"",""sessionOffsetMs"":4144028,""mediaOffsetMs"":6099585},{""eventType"":""paused"",""sessionOffsetMs"":5200914,""mediaOffsetMs"":7156144},{""eventType"":""stopped"",""sessionOffsetMs"":5202416,""mediaOffsetMs"":7156488}]"
Alex,GINNYANDGEORGIA_S1_CLIP_MAINCHARACTER,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 13:34:37,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1899,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4054,""mediaOffsetMs"":1808},{""eventType"":""stopped"",""sessionOffsetMs"":6366,""mediaOffsetMs"":1808}]"
Alex,Season 1 Trailer: Live to Lead,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 13:34:33,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2036,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2148,""mediaOffsetMs"":63},{""eventType"":""stopped"",""sessionOffsetMs"":3675,""mediaOffsetMs"":63}]"
Alex,Fast & Furious 9_hook_01_16x9,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 13:34:30,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1867,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2210,""mediaOffsetMs"":102},{""eventType"":""stopped"",""sessionOffsetMs"":4002,""mediaOffsetMs"":102}]"
Alex,Fast & Furious 9_hook_01_16x9,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:54:26,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3291,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":72917,""mediaOffsetMs"":69194}]"
Alex,Teaser: You People,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:54:24,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2144,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2221,""mediaOffsetMs"":48},{""eventType"":""stopped"",""sessionOffsetMs"":4104,""mediaOffsetMs"":48}]"
Alex,Season 1 Genre Specific Moment Clip: La chica de nieve,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:53:52,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2038,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":31769,""mediaOffsetMs"":29446},{""eventType"":""stopped"",""sessionOffsetMs"":33119,""mediaOffsetMs"":29446}]"
Alex,Season 1 Main Character Intro Clip: LOCKWOOD & CO,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:53:46,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2112,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6341,""mediaOffsetMs"":4108},{""eventType"":""stopped"",""sessionOffsetMs"":8757,""mediaOffsetMs"":4108}]"
Alex,Supporting Character Clip: Un Natale in famiglia,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:53:42,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2519,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4024,""mediaOffsetMs"":1610},{""eventType"":""stopped"",""sessionOffsetMs"":6366,""mediaOffsetMs"":1610}]"
Alex,Season 1 Informative Clip 2: Physical: 100,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:53:37,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1897,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4644,""mediaOffsetMs"":2610},{""eventType"":""stopped"",""sessionOffsetMs"":7133,""mediaOffsetMs"":2610}]"
Alex,Murder Mystery (Trailer),Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:53:34,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1235,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":1582,""mediaOffsetMs"":189},{""eventType"":""stopped"",""sessionOffsetMs"":2993,""mediaOffsetMs"":240}]"
Alex,Season 1 Main Character Intro Clip: Les combattantes,Samsung CE 2022 Nike-L UHD Smart TV,2023-01-29 11:53:30,RO,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2301,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4526,""mediaOffsetMs"":2307},{""eventType"":""stopped"",""sessionOffsetMs"":6075,""mediaOffsetMs"":2467}]"
